customer_no,Full_Date,deliquency_months,recovery_amt,recovery_branch
1,2018-01-01,30 Days,3.53,Delhi
6,2017-06-01,60 Days,9.42,Ranchi
7,2017-12-01,90 Days,1.4,Shillong
9,2018-09-01,90 Days,5.59,Nasik
10,2017-12-01,12 Months,14.13,Ranchi
11,2017-06-01,6 Month,8.39,Gandhinagar
12,2017-12-01,30 Days,1.18,Nagpur
13,2018-09-01,90 Days,11.19,Gandhinagar
14,2018-12-01,60 Days,1.77,Nagpur
15,2018-01-01,90 Days,1.18,Ranchi
17,2018-11-01,30 Days,3.53,Pune
18,2017-06-01,12 Months,16.78,Jaipur
19,2018-12-01,60 Days,4.71,Delhi
21,2018-03-01,90 Days,2.8,Aurangabad
22,2017-07-01,6 Month,10.6,Chennai
24,2018-03-01,6 Month,6.99,Aurangabad
26,2018-09-01,30 Days,10.6,Pune
28,2018-11-01,24 Months and more,8.39,Jaipur
29,2017-09-01,30 Days,12.59,Mumbai
30,2018-05-01,6 Month,3.53,Ranchi
31,2017-09-01,30 Days,6.48,Delhi
32,2018-06-01,12 Months,13.98,Delhi
33,2017-05-01,90 Days,1.4,Gandhinagar
34,2017-12-01,12 Months,2.36,Shillong
35,2017-10-01,60 Days,2.36,Shillong
36,2017-08-01,6 Month,8.39,Pune
37,2018-12-01,30 Days,1.4,Ranchi
38,2017-05-01,12 Months,3.53,Jaipur
39,2018-04-01,6 Month,1.18,Chennai
42,2017-06-01,6 Month,5.89,Mumbai
44,2018-07-01,6 Month,16.78,Mumbai
46,2018-02-01,12 Months,10.6,Gandhinagar
47,2017-06-01,24 Months and more,4.71,Shillong
48,2018-12-01,60 Days,1.4,Mumbai
49,2018-10-01,24 Months and more,5.3,Gandhinagar
50,2018-01-01,24 Months and more,4.71,Delhi
51,2017-09-01,60 Days,2.8,Chennai
52,2017-06-01,12 Months,5.89,Delhi
53,2018-03-01,60 Days,5.59,Gandhinagar
54,2017-08-01,90 Days,1.18,Pune
55,2018-08-01,6 Month,4.2,Jaipur
56,2017-05-01,30 Days,0.59,Nagpur
57,2017-09-01,12 Months,4.71,Nagpur
58,2018-10-01,60 Days,5.59,Aurangabad
59,2018-05-01,24 Months and more,2.36,Chandigarh
60,2018-03-01,6 Month,0.59,Gandhinagar
61,2018-07-01,6 Month,11.19,Chandigarh
63,2018-10-01,30 Days,2.36,Srinagar
64,2018-03-01,24 Months and more,11.19,Aurangabad
66,2018-01-01,6 Month,2.36,Nasik
67,2017-09-01,12 Months,9.79,Chennai
68,2017-09-01,30 Days,4.71,Shillong
69,2017-12-01,30 Days,9.42,Shillong
71,2017-10-01,24 Months and more,2.94,Aurangabad
74,2018-10-01,6 Month,1.77,Mumbai
75,2017-04-01,24 Months and more,1.77,Delhi
77,2017-02-01,90 Days,3.53,Aurangabad
78,2018-01-01,90 Days,8.24,Srinagar
79,2018-01-01,60 Days,8.39,Srinagar
80,2017-03-01,24 Months and more,5.3,Gandhinagar
82,2018-08-01,24 Months and more,13.98,Shillong
85,2018-05-01,12 Months,11.19,Bengaluru
86,2017-03-01,12 Months,11.19,Nasik
87,2018-03-01,24 Months and more,8.39,Pune
88,2018-01-01,12 Months,2.36,Jaipur
90,2017-05-01,60 Days,13.98,Chandigarh
91,2018-11-01,12 Months,1.4,Bengaluru
93,2018-08-01,6 Month,7.07,Chandigarh
95,2018-05-01,60 Days,7.07,Mumbai
96,2018-03-01,90 Days,1.4,Shillong
97,2017-02-01,12 Months,7.07,Aurangabad
98,2017-06-01,6 Month,2.36,Shillong
100,2017-04-01,12 Months,7.07,Chandigarh
101,2017-12-01,30 Days,7.07,Chandigarh
102,2017-02-01,60 Days,3.53,Nagpur
103,2018-09-01,90 Days,10.6,Aurangabad
104,2017-11-01,60 Days,2.94,Mumbai
105,2017-09-01,90 Days,0.59,Ranchi
106,2018-11-01,30 Days,0.59,Bengaluru
108,2018-03-01,30 Days,1.77,Nasik
